Title,IMDB Score
Over the Hill to the Poorhouse ,4.8
The Brain That Wouldn't Die ,4.1
The Stewardesses ,4.0
Exorcist II: The Heretic ,3.7
Alien Zone ,4.1
Meteor ,4.9
Can't Stop the Music ,4.5
Galaxina ,3.4
Raise the Titanic ,4.7
Graduation Day ,4.5
Heartbeeps ,4.2
Inchon ,2.7
Butterfly ,4.5
Halloween III: Season of the Witch ,4.6
Megaforce ,3.5
Losin' It ,4.8
Superman III ,4.9
The Wicked Lady ,4.0
Sheena ,4.8
Def-Con 4 ,4.3
Friday the 13th: A New Beginning ,4.7
Howard the Duck ,4.6
Shanghai Surprise ,3.0
American Ninja 2: The Confrontation ,4.7
Ishtar ,4.2
Jaws: The Revenge ,2.8
Superman IV: The Quest for Peace ,3.6
Teen Wolf Too ,3.2
The Barbarians ,4.8
Poltergeist III ,4.5
Friday the 13th Part VIII: Jason Takes Manhattan ,4.5
Midnight Cabaret ,4.5
Beastmaster 2: Through the Portal of Time ,3.8
Freddy's Dead: The Final Nightmare ,4.9
Jason Goes to Hell: The Final Friday ,4.3
RoboCop 3 ,3.9
Super Mario Bros. ,4.0
Teenage Mutant Ninja Turtles III ,4.8
3 Ninjas Kick Back ,4.3
Highlander: The Final Dimension ,4.3
On Deadly Ground ,4.4
Police Academy: Mission to Moscow ,3.3
Street Fighter ,3.8
The Flintstones ,4.8
Halloween: The Curse of Michael Myers ,4.9
Showgirls ,4.6
The Jerky Boys ,4.6
Vampire in Brooklyn ,4.5
Striptease ,4.3
The Island of Dr. Moreau ,4.4
The Pallbearer ,4.9
The Phantom ,4.9
An Alan Smithee Film: Burn Hollywood Burn ,3.5
Anaconda ,4.6
Batman & Robin ,3.7
Mortal Kombat: Annihilation ,3.7
Shadow Conspiracy ,4.9
Speed 2: Cruise Control ,3.7
Spice World ,3.3
Steel ,2.8
Turbulence ,4.7
Warriors of Virtue ,4.6
Barney's Great Adventure ,2.8
Chairman of the Board ,2.3
Holy Man ,4.9
I Got the Hook Up ,3.9
I Still Know What You Did Last Summer ,4.6
Knock Off ,4.8
Meet the Deedles ,3.9
Woo ,3.8
Baby Geniuses ,2.5
Bats ,3.6
Breakfast of Champions ,4.6
Dudley Do-Right ,3.8
Eye of the Beholder ,4.9
Foolish ,4.3
Inspector Gadget ,4.1
My Favorite Martian ,4.9
The Haunting ,4.9
The Omega Code ,3.5
The Rage: Carrie 2 ,4.6
Universal Soldier: The Return ,4.1
Wild Wild West ,4.8
Wing Commander ,4.1
102 Dalmatians ,4.8
3 Strikes ,4.0
Battlefield Earth ,2.4
Book of Shadows: Blair Witch 2 ,4.0
Down to You ,4.9
Dracula 2000 ,4.9
Hanging Up ,4.7
Highlander: Endgame ,4.6
Hum To Mohabbat Karega ,2.8
Lost Souls ,4.8
Luminarias ,3.6
Nutty Professor II: The Klumps ,4.3
Snow Day ,4.9
Supernova ,4.8
The Adventures of Rocky & Bullwinkle ,4.1
The Flintstones in Viva Rock Vegas ,3.6
The In Crowd ,4.6
The Next Best Thing ,4.7
The Young Unknowns ,4.2
Thomas and the Magic Railroad ,3.6
Urban Legends: Final Cut ,4.1
Whipped ,4.4
All the Queen's Men ,4.5
Black Knight ,4.8
Corky Romano ,4.6
Crocodile Dundee in Los Angeles ,4.8
Dr. Dolittle 2 ,4.6
Driven ,4.5
Freddy Got Fingered ,4.5
Ghosts of Mars ,4.9
Glitter ,2.1
Harvard Man ,4.9
Jason X ,4.4
Megiddo: The Omega Code 2 ,4.1
Monkeybone ,4.7
On the Line ,4.1
Say It Isn't So ,4.9
Soul Survivors ,3.9
Summer Catch ,4.9
The Animal ,4.8
The Musketeer ,4.7
The Wash ,4.6
Town & Country ,4.4
Valentine ,4.7
Abandon ,4.9
Ballistic: Ecks vs. Sever ,3.6
Boat Trip ,4.9
Crossroads ,3.3
Crossroads ,3.3
Extreme Ops ,4.5
Feardotcom ,3.3
Full Frontal ,4.7
Half Past Dead ,4.6
Halloween: Resurrection ,4.1
Juwanna Mann ,4.5
Rollerball ,3.0
Scooby-Doo ,4.9
Sex with Strangers ,4.7
Swept Away ,3.6
The Adventures of Pluto Nash ,3.8
The Country Bears ,4.0
The Master of Disguise ,3.3
They ,4.8
Charlie's Angels: Full Throttle ,4.8
Chasing Papi ,4.8
Darkness Falls ,4.9
Dumb and Dumberer: When Harry Met Lloyd ,3.4
From Justin to Kelly ,2.1
Gigli ,2.4
Gory Gory Hallelujah ,4.7
Kangaroo Jack ,4.4
"Legally Blonde 2: Red, White & Blonde ",4.6
Marci X ,2.8
My Boss's Daughter ,4.6
Spy Kids 3-D: Game Over ,4.1
"The Book of Mormon Movie, Volume 1: The Journey ",3.3
The Cat in the Hat ,3.8
The Haunted Mansion ,4.9
The Real Cancun ,2.7
Agent Cody Banks 2: Destination London ,4.5
Anacondas: The Hunt for the Blood Orchid ,4.6
Catwoman ,3.3
Confessions of a Teenage Drama Queen ,4.6
Decoys ,4.6
Envy ,4.8
Fascination ,3.3
Fat Albert ,4.3
Godsend ,4.8
Johnson Family Vacation ,4.3
My Baby's Daddy ,4.5
New York Minute ,4.8
Scooby-Doo 2: Monsters Unleashed ,4.9
Seed of Chucky ,4.9
Soul Plane ,4.4
Superbabies: Baby Geniuses 2 ,1.9
The Big Bounce ,4.9
The Cookout ,3.6
Thunderbirds ,4.2
Torque ,4.0
You Got Served ,3.5
A Sound of Thunder ,4.2
Alone in the Dark ,2.3
Are We There Yet? ,4.6
BloodRayne ,2.9
Boogeyman ,4.1
Chocolate: Deep Dark Secrets ,4.8
Deuce Bigalow: European Gigolo ,4.6
Dungeons & Dragons: Wrath of the Dragon God ,4.9
Elektra ,4.8
Herbie Fully Loaded ,4.7
King's Ransom ,4.1
My Big Fat Independent Movie ,3.3
Neal 'N' Nikki ,3.3
Son of the Mask ,2.2
Supercross ,4.0
The Adventures of Sharkboy and Lavagirl 3-D ,3.5
The Helix... Loaded ,1.9
The Salon ,4.3
Underclassman ,4.1
Undiscovered ,4.2
xXx: State of the Union ,4.3
Basic Instinct 2 ,4.2
Big Momma's House 2 ,4.6
Black Christmas ,4.5
Crossover ,2.1
Date Movie ,2.7
Deck the Halls ,4.9
DOA: Dead or Alive ,4.8
Doogal ,2.8
Farce of the Penguins ,4.2
Happily N'Ever After ,4.5
In Her Line of Fire ,4.1
Larry the Cable Guy: Health Inspector ,3.1
Littleman ,4.3
Phat Girlz ,3.0
Pulse ,4.7
The Marine ,4.7
The Naked Ape ,4.7
The Pet ,3.9
The Shaggy Dog ,4.4
The Tooth Fairy ,4.6
Ultraviolet ,4.4
Zoom ,4.2
Aliens vs. Predator: Requiem ,4.7
And Then Came Love ,4.8
Blonde Ambition ,3.9
Code Name: The Cleaner ,4.5
Daddy Day Camp ,2.9
Dragon Wars: D-War ,3.6
Epic Movie ,2.3
High School Musical 2 ,4.8
How She Move ,3.3
In the Name of the King: A Dungeon Siege Tale ,3.8
Rockaway ,4.6
The Legend of God's Gun ,4.1
Virgin Territory ,4.8
Who's Your Caddy? ,2.0
An American Carol ,4.3
Beverly Hills Chihuahua ,3.7
College ,4.6
Delgo ,4.4
Disaster Movie ,1.9
Extreme Movie ,3.8
Free Style ,4.2
High School Musical 3: Senior Year ,4.5
Impact Point ,4.3
Meet Dave ,4.9
Meet the Spartans ,2.7
No Man's Land: The Rise of Reeker ,4.9
One Missed Call ,3.9
Prom Night ,3.9
Space Chimps ,4.5
Sunday School Musical ,2.5
Superhero Movie ,4.5
"Surfer, Dude ",4.7
The Haunting of Molly Hartley ,3.8
The Love Guru ,3.8
The Spirit ,4.8
The Women ,4.9
Train ,4.8
Witless Protection ,3.1
2:13 ,4.8
All About Steve ,4.8
Alvin and the Chipmunks: The Squeakquel ,4.5
B-Girl ,4.0
Bled ,3.1
Chain Letter ,4.1
Dance Flick ,3.5
Did You Hear About the Morgans? ,4.7
Dragonball: Evolution ,2.7
Flying By ,4.5
Frat Party ,2.8
Halloween II ,4.9
Halloween II ,4.9
Hannah Montana: The Movie ,4.2
I Can Do Bad All by Myself ,4.1
